"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-01","10.51",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","3.1",",,W,","18","H,,S","30",",,W","11",",,W","  330",",,W","  330",",,W","19.9",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-02","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.1",",,W,","17","H,,S","28",",,W","6",",,W","  160",",,W","  160",",,W","16.1",",,W","19.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-03","12.53",",,W",,,"0.00","T,,W,2400","0.1",",,W,","3.1",",,W,","26","H,,S","33",",,W","12",",,W","  350",",,W","  340",",,W","29.1",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-04","16.11",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.1",",,W,","5","H,,S","12",",,W","-7",",,W","  340",",,W","  340",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-05","7.16",",,W",,,"0.06",",,W,2400","0.5",",,W,","3.1",",,W,","-7","H,,S","1",",,W","-11",",,W","  240",",,W","  280",",,W","15.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-06","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.1",",,W,","0","H,,S","8",",,W","-5",",,W","  320",",,W","  320",",,W","28.0",",,W","36.0",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-07","13.65",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.1",",,W,","-3","H,,S","-1",",,W","-9",",,W","  320",",,W","  320",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-08","15.43",",,W",,,"0.15",",,W,2400","3.0",",,W,","3.1",",,W,","2","H,,S","16",",,W","-6",",,W","  300",",,W","  310",",,W","31.1",",,W","42.9",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-09","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W,","5.1",",,W,","2","H,,S","6",",,W","-4",",,W","  310",",,W","  300",",,W","29.1",",,W","35.1",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-10","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,","4","H,,S","19",",,W","-4",",,W","  110",",,W","  100",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-11","4.70",",,W",,,"0.00","T,,W,2400","0.1",",,W,","3.9",",,W,","9","H,,S","14",",,W","3",",,W","   10",",,W","  310",",,W","12.1",",,W","19.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-12","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,","4","H,,S","5",",,W","-5",",,W","  350",",,W","  340",",,W","17.0",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-13","6.49",",,W",,,"0.02",",,W,2400","0.4",",,W,","3.9",",,W,","0","H,,S","15",",,W","-10",",,W","  170",",,W","  170",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-14","6.71",",,W",,,"0.01",",,W,2400","0.2",",,W,","3.9",",,W,","18","H,,S","24",",,W","15",",,W","  170",",,W","  220",",,W","12.1",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-15","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,","26","H,,S","35",",,W","19",",,W","  310",",,W","  310",",,W","21.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2015-01-16","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.9",",,W,","28","H,,S","30",",,W","27",",,W","  110",",,W","  100",",,W","19.9",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,,,,
